section | Our Mission Section | Our Mission To make home discovery simple, clear,  | 0 | 1338 | 390 | 679 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 0px | 40px 20px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Container | Our Mission To make home discovery simple, clear,  | 20 | 1378 | 350 | 599 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 40px | flex | none | none | fill | visible | relative
div | Mission Video |  | 20 | 1378 | 350 | 200 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
video |  |  | 20 | 1378 | 350 | 200 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 15px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static
div | Mission/Vision Container | Our Mission To make home discovery simple, clear,  | 20 | 1618 | 350 | 359 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 15px | flex | none | none | fill | visible | relative
div | Our Mission | Our Mission To make home discovery simple, clear,  | 20 | 1618 | 350 | 172 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 15px | 20px | 0px none rgb(0, 0, 0) | none | 1 | 6px | flex | none | none | fill | visible | relative
div | Mission Title Text | Our Mission | 40 | 1638 | 132 | 36 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h5 |  | Our Mission | 40 | 1638 | 132 | 36 | Switzer | 24px | 500 | 36px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Mission Description Text | To make home discovery simple, clear, and accessib | 40 | 1680 | 310 | 90 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | To make home discovery simple, clear, and accessib | 40 | 1680 | 310 | 90 | Switzer | 15px | 500 | 22.5px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Our Vision | Our Vision To create a modern real estate experien | 20 | 1805 | 350 | 172 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 15px | 20px | 0px none rgb(0, 0, 0) | none | 1 | 6px | flex | none | none | fill | visible | relative
div | Vision Title Text | Our Vision | 40 | 1825 | 116 | 36 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
